Country,State,Year,Type Of Areas,Gender,"Persons Working In Agriculture, Forestry And Fishing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Mining And Quarrying Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Manufacturing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Electricity, Gas, Steam And Air Conditioning Supply Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Water Supply, Sewerage, Waste Management And Remediation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Construction Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Wholesale, Retail Trade, Repair Of Motor Vehicles And Motorcycles Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Transportation And Storage Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Accommodation And Food Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Information And Communication Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Financial And Insurance Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Real Estate Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Professional, Scientific And Technical Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Administrative And Support Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Public Administration And Defence, Compulsory Social Security Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Education Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Human Health And Social Work Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Arts, Entertainment And Recreation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Other Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Households As Employers For Own Use Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Extraterritorial Organizations And Bodies Industry (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,Male,39.03,0,3.6,1.06,1.78,21.78,4.31,9.3,3.73,0,0.64,0.35,0,3.17,8.2,0.56,1.73,0,0.75,0,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,Female,56.25,0,3.43,0,0,3.96,9.47,0.68,1.93,0,0.91,0,0,0.18,1.79,9.88,7.46,0,0.33,3.73,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,Persons,45.1,0,3.54,0.69,1.15,15.5,6.13,6.26,3.1,0,0.74,0.22,0,2.12,5.94,3.85,3.75,0,0.6,1.31,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,Male,2.84,0,7.12,1.96,0.29,15.48,15.59,13.06,4.57,1.57,0.55,0,1.81,5.25,22.43,2.37,1.22,1.12,2.57,0.2,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,Female,2.52,0,6.33,0,0,1.66,25.37,2.85,8.84,0.62,0,0,0.4,3.23,14.73,11.32,3.57,0,3.81,14.75,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,Persons,2.76,0,6.93,1.47,0.22,12.07,18,10.55,5.62,1.34,0.41,0,1.46,4.75,20.53,4.58,1.8,0.85,2.87,3.78,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Male,23.12,0,5.15,1.45,1.13,19.01,9.27,10.96,4.1,0.69,0.6,0.19,0.8,4.08,14.46,1.36,1.51,0.49,1.55,0.09,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Female,39.02,0,4.36,0,0,3.22,14.57,1.38,4.14,0.2,0.62,0,0.13,1.16,5.94,10.34,6.21,0,1.45,7.26,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,Persons,28.04,0,4.9,1,0.78,14.12,10.91,7.99,4.12,0.54,0.61,0.13,0.59,3.18,11.82,4.14,2.96,0.34,1.52,2.31,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Male,53.5,0.3,5.98,0.36,0.1,14.73,7.74,7.49,1.5,0.98,0.86,0.08,0.34,0.66,1.31,0.96,0.91,0.23,1.76,0.2,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,Female,67.26,0.3,9.02,0,0.12,6.28,4.88,0,2.22,0.3,0.24,0.03,0.12,0.05,2.29,2.44,2.66,0.27,1.1,0.41,
