Country,Year,Gender,Technical Education Level (Code),Type Of Areas,"Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons (15+) (UOM:Number), Scaling Factor:100","Sample Persons (15+) (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Male,No Technical Education -01,Rural,97.1,,87455
India,"PLFS Year (Jul - Jun), 2023",Female,No Technical Education -01,Rural,98.6,,89625
India,"PLFS Year (Jul - Jun), 2023",Persons,No Technical Education -01,Rural,97.8,,177080
India,"PLFS Year (Jul - Jun), 2023",Male,No Technical Education -01,Urban,90.2,,64116
India,"PLFS Year (Jul - Jun), 2023",Female,No Technical Education -01,Urban,94.5,,65931
India,"PLFS Year (Jul - Jun), 2023",Persons,No Technical Education -01,Urban,92.3,,130047
India,"PLFS Year (Jul - Jun), 2023",Male,No Technical Education -01,Rural+Urban,94.9,,151571
India,"PLFS Year (Jul - Jun), 2023",Female,No Technical Education -01,Rural+Urban,97.3,,155556
India,"PLFS Year (Jul - Jun), 2023",Persons,No Technical Education -01,Rural+Urban,96.1,,307127
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Agriculture -02,Rural,0.0,,10
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Agriculture -02,Rural,0.0,,2
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Agriculture -02,Rural,0.0,,12
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Agriculture -02,Urban,0.0,,24
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Agriculture -02,Urban,0.0,,11
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Agriculture -02,Urban,0.0,,35
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Agriculture -02,Rural+Urban,0.0,,34
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Agriculture -02,Rural+Urban,0.0,,13
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Agriculture -02,Rural+Urban,0.0,,47
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Engineering/Technology -03,Rural,0.4,,283
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Engineering/Technology -03,Rural,0.1,,90
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Engineering/Technology -03,Rural,0.3,,373
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Engineering/Technology -03,Urban,3.4,,1717
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Engineering/Technology -03,Urban,1.3,,558
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Engineering/Technology -03,Urban,2.4,,2275
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Engineering/Technology -03,Rural+Urban,1.3,,2000
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Engineering/Technology -03,Rural+Urban,0.5,,648
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Engineering/Technology -03,Rural+Urban,0.9,,2648
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Medicine -04,Rural,0.0,,42
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Medicine -04,Rural,0.1,,54
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Medicine -04,Rural,0.1,,96
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Medicine -04,Urban,0.4,,264
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Medicine -04,Urban,0.4,,234
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Medicine -04,Urban,0.4,,498
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Medicine -04,Rural+Urban,0.2,,306
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Medicine -04,Rural+Urban,0.2,,288
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Medicine -04,Rural+Urban,0.2,,594
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Crafts -05,Rural,0.0,,3
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Crafts -05,Rural,0.0,,0
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Crafts -05,Rural,0.0,,3
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Crafts -05,Urban,0.0,,9
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Crafts -05,Urban,0.0,,7
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Crafts -05,Urban,0.0,,16
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Crafts -05,Rural+Urban,0.0,,12
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Crafts -05,Rural+Urban,0.0,,7
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Crafts -05,Rural+Urban,0.0,,19
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Other Subjects -06,Rural,0.4,,322
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Other Subjects -06,Rural,0.3,,255
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Other Subjects -06,Rural,0.4,,577
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Other Subjects -06,Urban,1.2,,732
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Other Subjects -06,Urban,1.4,,811
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Other Subjects -06,Urban,1.3,,1543
India,"PLFS Year (Jul - Jun), 2023",Male,Technical Degree in Other Subjects -06,Rural+Urban,0.6,,1054
India,"PLFS Year (Jul - Jun), 2023",Female,Technical Degree in Other Subjects -06,Rural+Urban,0.7,,1066
India,"PLFS Year (Jul - Jun), 2023",Persons,Technical Degree in Other Subjects -06,Rural+Urban,0.7,,2120
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,15
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,4
India,"PLFS Year (Jul - Jun), 2023",Persons,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Rural,0.0,,19
India,"PLFS Year (Jul - Jun), 2023",Male,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,13
India,"PLFS Year (Jul - Jun), 2023",Female,Diploma Or Certificate (Below Graduate Level) in Agriculture -07,Urban,0.0,,2
