Country,Year,Gender,Type Of Areas,Age Group,Status Of Usual Activity,Industry Of Usual Activity,"Not Literates Under Highest Level Of Education Successfully Completed (UOM:%(Percentage)), Scaling Factor:1","Literates Upto Primary Level Of Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Middle Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Secondary Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Higher Secondary Level Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Diploma Or Certificate Course Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Graduates Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Post Graduates And Above Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Persons With Secondary Level And Above Education Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","All Persons Under Highest Level Of Education Completed (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons Under Highest Level Of Education Completed (UOM:Number), Scaling Factor:1","Sample Persons Under Highest Level Of Education Completed (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",01-03,8.8,6.8,5.1,3.3,4.1,5.4,4.3,2.4,3.8,4.6,,1400.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",01-96,12.9,15.4,12.3,8.3,10.3,11.9,14.7,17.4,10.6,11.6,,3857.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",05-43,2.1,2.8,1.9,1.5,1.0,0.8,2.0,0.9,1.4,1.7,,588.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,"11,12",45-96,2.0,5.8,5.3,3.5,5.1,5.8,8.4,14.1,5.4,5.3,,1869.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,01-03,16.9,14.7,17.7,14.4,16.7,9.6,19.4,18.8,16.2,16.5,,4996.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,01-96,17.5,17.6,19.9,16.5,19.4,12.1,22.6,20.1,18.7,18.9,,5739.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,05-43,0.1,1.6,0.9,0.5,0.7,1.3,0.8,0.0,0.6,0.8,,209.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,21,45-96,0.6,1.2,1.3,1.5,1.9,1.2,2.5,1.2,1.8,1.6,,534.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,01-03,25.7,21.5,22.8,17.7,20.9,15.0,23.7,21.2,20.0,21.1,,6396.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,01-96,30.5,33.0,32.2,24.8,29.6,24.0,37.3,37.5,29.3,30.5,,9596.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,05-43,2.1,4.4,2.8,2.0,1.7,2.1,2.7,0.9,2.0,2.5,,797.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-21,45-96,2.6,7.1,6.6,5.1,7.0,7.0,10.9,15.4,7.2,6.9,,2403.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,01-03,1.3,0.4,0.4,0.1,0.2,0.0,0.0,0.0,0.1,0.3,,85.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,01-99,9.3,9.9,8.5,9.6,11.4,40.8,21.5,32.1,14.2,12.0,,4091.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,05-43,4.9,3.5,3.5,4.8,4.4,24.8,6.4,4.8,5.7,4.8,,1508.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,31,45-99,3.0,6.0,4.6,4.7,6.7,15.9,15.1,27.4,8.4,6.9,,2498.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,41,,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,44.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,01-03,10.2,10.6,4.6,2.3,1.8,1.8,1.0,1.1,1.8,3.8,,1082.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,01-99,42.6,41.6,22.8,12.0,7.7,8.4,4.0,1.6,8.5,16.8,,5007.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,05-43,30.1,29.4,16.7,8.7,5.1,4.7,2.5,0.4,5.8,12.0,,3578.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,51,45-99,2.3,1.6,1.5,1.0,0.8,1.8,0.5,0.0,0.8,1.1,,347.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,41 & 51,01-99,42.8,41.7,22.8,12.1,7.7,8.4,4.1,1.6,8.5,16.9,,5051.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,01-03,37.3,32.4,27.8,20.1,22.9,16.8,24.7,22.3,22.0,25.1,,7563.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,01-99,82.6,84.6,63.5,46.5,48.7,73.1,62.8,71.2,52.0,59.5,,18738.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,05-43,37.3,37.5,23.0,15.5,11.3,31.6,11.8,6.1,13.6,19.4,,5927.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-51,45-99,7.9,14.7,12.7,10.8,14.5,24.7,26.4,42.7,16.4,15.0,,5248.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,81,,4.0,2.6,3.1,2.4,4.6,13.6,20.4,18.0,7.5,5.6,,1833.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,11-81,,86.6,87.2,66.5,48.8,53.3,86.7,83.2,89.2,59.5,65.1,,20571.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,UR,,4.6,2.9,4.6,4.9,8.6,15.7,24.5,20.2,12.5,8.7,,
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,91,,0.0,9.9,31.4,50.5,46.1,12.5,16.3,10.3,39.9,33.3,,11058.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,92,,1.3,0.7,0.4,0.1,0.1,0.0,0.0,0.3,0.1,0.3,,91.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,93,,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,,40.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,94,,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,6.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,95,,11.1,1.3,0.8,0.3,0.2,0.1,0.1,0.0,0.2,0.8,,258.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,97,,0.8,0.8,0.7,0.1,0.3,0.6,0.2,0.2,0.2,0.4,,131.0
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,15-29 years,91-97,,13.4,12.8,33.5,51.2,46.7,13.3,16.8,10.8,40.5,34.9,,11584.0
