Country,State,Year,Age Group,Type Of Area,Gender,"Unemployment Rate (Ur) (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,28.1
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,51.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,38.2
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,19.7
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,45.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,28.0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,24.0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,49.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,33.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,7.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,17.0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,11.2
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,7.2
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,29.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,13.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,7.4
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,21.4
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,12.3
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,6.9
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,16.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,10.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,7.0
