Country,State,Year,Type Of Areas,Gender,"Rate Of Unemployment  (UOM:Ratio), Scaling Factor:1"
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",rural,Male,42.0
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",rural,Female,27.63
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",rural,Person,28.1
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",urban,Male,6.95
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",urban,Female,14.69
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",urban,Person,5.49
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,23.52
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,16.23
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,15.86
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Male,10.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Female,12.04
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Person,9.11
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Male,14.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Female,14.55
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Person,11.55
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,8.78
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,9.95
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,7.35
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Male,13.95
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Female,25.63
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural,Person,17.13
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Male,2.6
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Female,19.75
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",urban,Person,10.64
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,10.84
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,17.62
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,12.69
India,Assam,"PLFS Year (Jul - Jun), 2023",rural,Male,11.32
India,Assam,"PLFS Year (Jul - Jun), 2023",rural,Female,12.91
India,Assam,"PLFS Year (Jul - Jun), 2023",rural,Person,9.12
India,Assam,"PLFS Year (Jul - Jun), 2023",urban,Male,24.23
India,Assam,"PLFS Year (Jul - Jun), 2023",urban,Female,25.08
India,Assam,"PLFS Year (Jul - Jun), 2023",urban,Person,17.53
India,Assam,"PLFS Year (Jul - Jun), 2023",rural + urban,Male,10.19
India,Assam,"PLFS Year (Jul - Jun), 2023",rural + urban,Female,11.7
India,Assam,"PLFS Year (Jul - Jun), 2023",rural + urban,Person,8.11
India,Bihar,"PLFS Year (Jul - Jun), 2023",rural,Male,13.77
India,Bihar,"PLFS Year (Jul - Jun), 2023",rural,Female,40.46
India,Bihar,"PLFS Year (Jul - Jun), 2023",rural,Person,12.95
India,Bihar,"PLFS Year (Jul - Jun), 2023",urban,Male,17.1
India,Bihar,"PLFS Year (Jul - Jun), 2023",urban,Female,36.41
India,Bihar,"PLFS Year (Jul - Jun), 2023",urban,Person,19.59
