Country,State,Year,Calendar Day,"Number Of Micro Enterprises Registration Including Udyam Assist Platform (Uap) (UOM:Number), Scaling Factor:1","Number Of Small Enterprises Registration Including Udyam Assist Platform (Uap) (UOM:Number), Scaling Factor:1","Number Of Medium Enterprises Registration Including Udyam Assist Platform (Uap) (UOM:Number), Scaling Factor:1","Number Of Institutional Medical Establishments (Ime) Including Unified Ayushman Platform (Uap) (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2026",2026-08-11,20088,179,4,4271
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2026",2026-08-11,2308578,18128,1094,2272128
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2026",2026-08-11,35758,424,21,23808
India,Assam,"Calendar Year (Jan - Dec), 2026",2026-08-11,1256452,7165,551,675503
India,Bihar,"Calendar Year (Jan - Dec), 2026",2026-08-11,2224441,13821,663,2887625
India,Chandigarh,"Calendar Year (Jan - Dec), 2026",2026-08-11,67373,1390,141,32684
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2026",2026-08-11,795411,9310,798,770576
India,Delhi,"Calendar Year (Jan - Dec), 2026",2026-08-11,1150743,31553,3182,661074
India,Goa,"Calendar Year (Jan - Dec), 2026",2026-08-11,99700,1214,81,48490
India,Gujarat,"Calendar Year (Jan - Dec), 2026",2026-08-11,3244976,60922,4884,1702650
India,Haryana,"Calendar Year (Jan - Dec), 2026",2026-08-11,1529206,25869,2029,908000
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2026",2026-08-11,290088,2840,224,114253
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2026",2026-08-11,670595,3498,225,296036
India,Jharkhand,"Calendar Year (Jan - Dec), 2026",2026-08-11,876946,6564,382,960799
India,Karnataka,"Calendar Year (Jan - Dec), 2026",2026-08-11,2813259,34421,2620,2916736
India,Kerala,"Calendar Year (Jan - Dec), 2026",2026-08-11,1200738,13817,862,976159
India,Ladakh,"Calendar Year (Jan - Dec), 2026",2026-08-11,16084,132,4,6014
India,Lakshadweep,"Calendar Year (Jan - Dec), 2026",2026-08-11,1723,1,0,924
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2026",2026-08-11,2633853,21973,1378,2992701
India,Maharashtra,"Calendar Year (Jan - Dec), 2026",2026-08-11,7862078,83014,7884,3720858
India,Manipur,"Calendar Year (Jan - Dec), 2026",2026-08-11,142932,454,18,59875
India,Meghalaya,"Calendar Year (Jan - Dec), 2026",2026-08-11,68337,452,32,27514
India,Mizoram,"Calendar Year (Jan - Dec), 2026",2026-08-11,40957,217,8,21874
India,Nagaland,"Calendar Year (Jan - Dec), 2026",2026-08-11,54310,193,11,31619
India,Odisha,"Calendar Year (Jan - Dec), 2026",2026-08-11,1580772,10923,650,1330475
India,Puducherry,"Calendar Year (Jan - Dec), 2026",2026-08-11,68083,717,68,53939
India,Punjab,"Calendar Year (Jan - Dec), 2026",2026-08-11,1732415,18715,1382,696775
India,Rajasthan,"Calendar Year (Jan - Dec), 2026",2026-08-11,3424198,29754,1871,1909758
India,Sikkim,"Calendar Year (Jan - Dec), 2026",2026-08-11,24553,167,17,17171
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2026",2026-08-11,4459982,42799,3155,2582141
India,Telangana,"Calendar Year (Jan - Dec), 2026",2026-08-11,2263950,22370,2006,2362002
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2026",2026-08-11,29961,974,134,10157
India,Tripura,"Calendar Year (Jan - Dec), 2026",2026-08-11,136688,781,48,213072
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2026",2026-08-11,5516183,45013,3040,5026519
India,Uttarakhand,"Calendar Year (Jan - Dec), 2026",2026-08-11,494906,4661,301,291659
India,West Bengal,"Calendar Year (Jan - Dec), 2026",2026-08-11,2405509,26969,1983,3764903
