Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2023",Male,Urban,Vocational/Technical Training Received_Formal,,6.5,1548
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural,Vocational/Technical Training Received_Formal,,3.9,2579
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Vocational/Technical Training Received_Formal,,7.8,1636
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Vocational/Technical Training Received_Formal,,3.8,1242
India,"PLFS Year (Jul - Jun), 2023",Female,Rural+Urban,Vocational/Technical Training Received_Formal,,5.0,2878
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,Vocational/Technical Training Received_Formal,,4.0,1337
India,"PLFS Year (Jul - Jun), 2023",Male,Rural+Urban,Vocational/Technical Training Received_Formal,,4.8,2885
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural+Urban,Vocational/Technical Training Received_Formal,,4.9,5763
India,"PLFS Year (Jul - Jun), 2023",Persons,Urban,Vocational/Technical Training Received_Formal,,7.1,3184
India,"PLFS Year (Jul - Jun), 2023",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,5.8,2687
India,"PLFS Year (Jul - Jun), 2023",Male,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,1.8,445
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,,9.9,5766
India,"PLFS Year (Jul - Jun), 2023",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,1.5,748
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,,7.7,2384
India,"PLFS Year (Jul - Jun), 2023",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,8.9,3827
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,1.2,303
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Hereditary,,7.4,6514
India,"PLFS Year (Jul - Jun), 2023",Male,Rural,Vocational/Technical Training Received_Other than Formal_Hereditary,,12.0,3382
India,"PLFS Year (Jul - Jun), 2023",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,3.0,766
India,"PLFS Year (Jul - Jun), 2023",Female,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,,3.8,1454
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,5.1,6213
India,"PLFS Year (Jul - Jun), 2023",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,,5.2,3898
India,"PLFS Year (Jul - Jun), 2023",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,4.6,2315
