Country,Year,Categories ,"Number Of Accounts (UOM:Number), Scaling Factor:1","Total Sanctioned Amount For Beneficiaries (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Disbursed Amount For Beneficiaries (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Financial Year (Apr - Mar), 2022",Kishore,17915912.0,204007.0,200937.0
India,"Financial Year (Apr - Mar), 2022",Out of the Category_New entrepreneur Accounts,10066770.0,132693.0,129423.0
India,"Financial Year (Apr - Mar), 2022",Out of the Category_SC / ST / OBC,31453998.0,165955.0,163978.0
India,"Financial Year (Apr - Mar), 2022",Out of the Category_Women,44256813.0,216954.0,215035.0
India,"Financial Year (Apr - Mar), 2022",Shishu,43077851.0,142766.0,141610.0
India,"Financial Year (Apr - Mar), 2022",Tarun,1316835.0,109765.0,107877.0
India,"Financial Year (Apr - Mar), 2021",Kishore,11088206.0,137644.0,133389.0
India,"Financial Year (Apr - Mar), 2021",Out of the Category_New entrepreneur Accounts,6530351.0,72685.0,69000.0
India,"Financial Year (Apr - Mar), 2021",Out of the Category_SC / ST / OBC,27801387.0,125226.0,123409.0
India,"Financial Year (Apr - Mar), 2021",Out of the Category_Women,38429259.0,166422.0,164442.0
India,"Financial Year (Apr - Mar), 2021",Shishu,41721154.0,124747.0,123969.0
India,"Financial Year (Apr - Mar), 2021",Tarun,986166.0,76719.0,74044.0
India,"Financial Year (Apr - Mar), 2020",Kishore,9486160.0,132516.0,127240.0
India,"Financial Year (Apr - Mar), 2020",Out of the Category_New entrepreneur Accounts,7740581.0,83336.79,79504.0
India,"Financial Year (Apr - Mar), 2020",Out of the Category_SC / ST / OBC,24870347.0,105817.0,103448.0
India,"Financial Year (Apr - Mar), 2020",Out of the Category_Women,33303604.0,131303.0,128370.0
India,"Financial Year (Apr - Mar), 2020",Shishu,40180115.0,109953.0,108637.0
India,"Financial Year (Apr - Mar), 2020",Tarun,1068771.0,79290.0,75877.0
India,"Financial Year (Apr - Mar), 2019",Kishore,6471873.0,95579.0,91427.0
India,"Financial Year (Apr - Mar), 2019",Out of the Category_New entrepreneur Accounts,11913903.0,99263.0,94896.0
India,"Financial Year (Apr - Mar), 2019",Out of the Category_SC / ST / OBC,29750100.0,113884.0,112029.0
India,"Financial Year (Apr - Mar), 2019",Out of the Category_Women,39103349.0,145182.0,142846.0
India,"Financial Year (Apr - Mar), 2019",Shishu,54490617.0,163559.0,162813.0
India,"Financial Year (Apr - Mar), 2019",Tarun,1285116.0,78358.0,75475.0
India,"Financial Year (Apr - Mar), 2018",Kishore,6606009.0,104386.68,99868.0
India,"Financial Year (Apr - Mar), 2018",Out of the Category_New entrepreneur Accounts,13393802.0,106033.06,100925.58
India,"Financial Year (Apr - Mar), 2018",Out of the Category_SC / ST / OBC,28135095.0,101593.64,98023.68
India,"Financial Year (Apr - Mar), 2018",Out of the Category_Women,37062562.0,133033.62,129153.23
India,"Financial Year (Apr - Mar), 2018",Shishu,51507438.0,142345.25,139651.55
India,"Financial Year (Apr - Mar), 2018",Tarun,1756871.0,74990.86,72291.84
India,"Financial Year (Apr - Mar), 2017",Kishore,4653874.0,86732.16,83197.09
India,"Financial Year (Apr - Mar), 2017",Out of the Category_New entrepreneur Accounts,12559327.0,97448.7,93656.61
India,"Financial Year (Apr - Mar), 2017",Out of the Category_SC / ST / OBC,26224114.0,86052.0,83686.97
India,"Financial Year (Apr - Mar), 2017",Out of the Category_Women,33558238.0,103254.12,100170.55
India,"Financial Year (Apr - Mar), 2017",Shishu,42669795.0,106001.6,104228.05
India,"Financial Year (Apr - Mar), 2017",Tarun,806924.0,60943.34,59012.25
India,"Financial Year (Apr - Mar), 2016",Kishore,2663000.0,53545.14,51063.12
India,"Financial Year (Apr - Mar), 2016",Out of the Category_New entrepreneur Accounts,9990000.0,72960.14,69973.96
India,"Financial Year (Apr - Mar), 2016",Out of the Category_SC / ST / OBC,22501000.0,67943.38,66279.8
India,"Financial Year (Apr - Mar), 2016",Out of the Category_Women,29147000.0,80289.68,78249.78
India,"Financial Year (Apr - Mar), 2016",Shishu,36498000.0,85100.74,83891.88
India,"Financial Year (Apr - Mar), 2016",Tarun,540000.0,41882.66,40357.13
India,"Financial Year (Apr - Mar), 2015",Kishore,2070000.0,43052.55,41073.28
India,"Financial Year (Apr - Mar), 2015",Out of the Category_New entrepreneur Accounts,12475000.0,61649.95,58908.0
India,"Financial Year (Apr - Mar), 2015",Out of the Category_SC / ST / OBC,18402000.0,50237.52,49196.33
India,"Financial Year (Apr - Mar), 2015",Out of the Category_Women,27630000.0,82183.55,63190.43
India,"Financial Year (Apr - Mar), 2015",Shishu,32401000.0,62894.96,62027.69
India,"Financial Year (Apr - Mar), 2015",Tarun,410000.0,31501.76,29853.76
