Country,Year,Borrower Category,"Sanctioned Amount  (UOM:INR(IndianRupees)), Scaling Factor:10000000","Disbursed Amount  (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Financial Year (Apr - Mar), 2023",Public Sector Banks and Regional Rural Banks (PSB + RRB),9013.71,9013.71
India,"Financial Year (Apr - Mar), 2023",Private Sector Banks and Small Finance Banks (PVT + SFB),7290,7290
India,"Financial Year (Apr - Mar), 2023",Microfinance Institutions (MFI),1387.5,1387.5
India,"Financial Year (Apr - Mar), 2023",Non-Banking Financial Companies (NBFC),975,995
India,"Financial Year (Apr - Mar), 2023",Pass Through Certificates (PTC),893.9,825.53
India,"Financial Year (Apr - Mar), 2022",Public Sector Banks and Regional Rural Banks (PSB + RRB),8683,8683
India,"Financial Year (Apr - Mar), 2022",Private Sector Banks and Small Finance Banks (PVT + SFB),1490,1490
India,"Financial Year (Apr - Mar), 2022",Microfinance Institutions (MFI),973,1118
India,"Financial Year (Apr - Mar), 2022",Non-Banking Financial Companies (NBFC),675,795
India,"Financial Year (Apr - Mar), 2022",Pass Through Certificates (PTC),427,427
India,"Financial Year (Apr - Mar), 2021",Public Sector Banks and Regional Rural Banks (PSB + RRB),11807.87,11807.87
India,"Financial Year (Apr - Mar), 2021",Private Sector Banks and Small Finance Banks (PVT + SFB),633.28,708.28
India,"Financial Year (Apr - Mar), 2021",Microfinance Institutions (MFI),1025,705
India,"Financial Year (Apr - Mar), 2021",Non-Banking Financial Companies (NBFC),2090,1965
India,"Financial Year (Apr - Mar), 2021",Pass Through Certificates (PTC),66.66,66.66
India,"Financial Year (Apr - Mar), 2020",Public Sector Banks and Regional Rural Banks (PSB + RRB),10479.65,10479.65
India,"Financial Year (Apr - Mar), 2020",Private Sector Banks and Small Finance Banks (PVT + SFB),1077,947
India,"Financial Year (Apr - Mar), 2020",Microfinance Institutions (MFI),356,508.5
India,"Financial Year (Apr - Mar), 2020",Non-Banking Financial Companies (NBFC),400,367.5
India,"Financial Year (Apr - Mar), 2020",Pass Through Certificates (PTC),0,0
India,"Financial Year (Apr - Mar), 2019",Public Sector Banks and Regional Rural Banks (PSB + RRB),2158,2244
India,"Financial Year (Apr - Mar), 2019",Private Sector Banks and Small Finance Banks (PVT + SFB),264,265
India,"Financial Year (Apr - Mar), 2019",Microfinance Institutions (MFI),1080,932
India,"Financial Year (Apr - Mar), 2019",Non-Banking Financial Companies (NBFC),1309,559
India,"Financial Year (Apr - Mar), 2019",Pass Through Certificates (PTC),0,0
India,"Financial Year (Apr - Mar), 2018",Public Sector Banks and Regional Rural Banks (PSB + RRB),4529,4329
India,"Financial Year (Apr - Mar), 2018",Private Sector Banks and Small Finance Banks (PVT + SFB),1270,1470
India,"Financial Year (Apr - Mar), 2018",Microfinance Institutions (MFI),236,314
India,"Financial Year (Apr - Mar), 2018",Non-Banking Financial Companies (NBFC),1200,708
India,"Financial Year (Apr - Mar), 2018",Pass Through Certificates (PTC),323.1,309.46
India,"Financial Year (Apr - Mar), 2017",Public Sector Banks and Regional Rural Banks (PSB + RRB),4072.48,4072.48
India,"Financial Year (Apr - Mar), 2017",Private Sector Banks and Small Finance Banks (PVT + SFB),1600,1350
India,"Financial Year (Apr - Mar), 2017",Microfinance Institutions (MFI),446.5,369.5
India,"Financial Year (Apr - Mar), 2017",Non-Banking Financial Companies (NBFC),1137,1005
India,"Financial Year (Apr - Mar), 2017",Pass Through Certificates (PTC),721.92,704.07
India,"Financial Year (Apr - Mar), 2016",Public Sector Banks and Regional Rural Banks (PSB + RRB),2068.52,2068.52
India,"Financial Year (Apr - Mar), 2016",Private Sector Banks and Small Finance Banks (PVT + SFB),0,0
India,"Financial Year (Apr - Mar), 2016",Microfinance Institutions (MFI),820,787
India,"Financial Year (Apr - Mar), 2016",Non-Banking Financial Companies (NBFC),399,399
India,"Financial Year (Apr - Mar), 2016",Pass Through Certificates (PTC),271.42,271.42
India,"Financial Year (Apr - Mar), 2015",Public Sector Banks and Regional Rural Banks (PSB + RRB),2671.25,2671.25
India,"Financial Year (Apr - Mar), 2015",Private Sector Banks and Small Finance Banks (PVT + SFB),0,0
India,"Financial Year (Apr - Mar), 2015",Microfinance Institutions (MFI),812,616
India,"Financial Year (Apr - Mar), 2015",Non-Banking Financial Companies (NBFC),0,0
India,"Financial Year (Apr - Mar), 2015",Pass Through Certificates (PTC),49.95,49.95
