Country,State,Year,Quarter,Type Of Areas,Gender,"Average Wage Or Salary Earnings (UOM:%(Percentage)), Scaling Factor:1","Estimated Number Of Wage Or Salary Workers (UOM:Number), Scaling Factor:100","Sample Number Of Wage Or Salary Workers (UOM:Number), Scaling Factor:1","Average Wage Earnings Per Day (UOM:%(Percentage)), Scaling Factor:1","Estimated Number Of Days Worked As Casual Labour (UOM:Number), Scaling Factor:1","Sample Number Of Days Worked As Casual Labour (UOM:Number), Scaling Factor:1","Average Gross Earnings During Last 30 Days From Self-Employment Among Self-Employed Persons In Current Weekly Statu (UOM:%(Percentage)), Scaling Factor:1","Estimated Number Of Self Employed Persons In Current Weekly Status (Cws) (UOM:Number), Scaling Factor:100","Sample Number Of Self-Employed Persons In Current Weekly Status (Cws) (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20780,,2975,616.03,,20227,29641.13,,7846
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,13173.27,,926,465.12,,4936,15219.49,,3214
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,18441.94,,3901,583.09,,25163,28349.74,,11060
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,34630.14,,20969,680.48,,28921,65130.29,,17235
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,22981.38,,7135,0,,3778,39368.37,,4103
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,30652.12,,28104,680.48,,32699,60082,,21338
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,26962.66,,23944,637.94,,49148,42434.01,,25081
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,17931.69,,8061,465.12,,8714,29292.67,,7317
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,24045.38,,32005,611.04,,57862,40712.44,,32398
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,20047.02,,2975,599.41,,20227,16470.03,,7846
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,16290.6,,926,339.66,,4936,6659.75,,3214
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,19036.72,,3901,486.08,,25163,14817.78,,11060
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,23921.81,,20969,592.63,,28921,19506.61,,17235
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,17634.33,,7135,357.79,,3778,10002.34,,4103
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,22175.65,,28104,538.67,,32699,17194.42,,21338
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,21785.42,,23944,598.08,,49148,17180.93,,25081
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,16908.16,,8061,341.22,,8714,7751.76,,7317
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Persons,20454.35,,32005,494.07,,57862,15415.38,,32398
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Male,31554.37,,2975,524.3,,20227,13451.69,,7846
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Female,22633.43,,926,501.19,,4936,6522.52,,3214
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural,Persons,28786.52,,3901,523.56,,25163,10474.94,,11060
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Male,36098.11,,20969,487.2,,28921,21324.26,,17235
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Female,28849.25,,7135,400,,3778,10233.4,,4103
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Urban,Persons,34468.76,,28104,484.96,,32699,17596.32,,21338
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Male,32698.36,,23944,521.09,,49148,14167.03,,25081
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2023","April - June, 2024",Rural + Urban,Female,23741.31,,8061,494.12,,8714,6756.16,,7317
