Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,72,51.8,28.1
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,67.7,32.7,51.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,70.1,43.3,38.2
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,89.9,83.2,7.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,60.2,49.9,17
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,75.3,66.9,11.2
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,84.2,78.4,6.9
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,54,45,16.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,69.5,62.1,10.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,67.5,62.8,6.9
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,44.6,37.2,16.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,56.5,50.5,10.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,78.4,63,19.7
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,39.6,21.5,45.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,59.9,43.2,28
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,90.6,84.1,7.2
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,41.8,29.5,29.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,67.3,57.9,13.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,84.3,78.4,7
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,36.9,26.3,28.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,60.9,52.7,13.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,67.9,63.1,7
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,30,21.4,28.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,49.3,42.6,13.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,75.1,57.1,24
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,53.4,27,49.5
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,65.1,43.3,33.6
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,90.2,83.6,7.4
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,52.1,40.9,21.4
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,71.7,62.9,12.3
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Male,84.3,78.4,7
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Female,46.3,36.7,20.9
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Persons,65.7,58,11.8
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Male,67.7,62.9,7
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Female,38,30.1,20.9
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Persons,53.3,47,11.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,63,53.6,14.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,33.6,28,16.6
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,48.6,41.1,15.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,84.8,81.3,4.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,59.1,57.3,3.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,71.8,69.1,3.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,77.9,75,3.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,51.2,49.7,2.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,64.2,62,3.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,59.7,57.4,3.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,40.7,39.6,2.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,50.1,48.4,3.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,57.2,45.7,20.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,22.4,15.9,29.1
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,39.3,30.4,22.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,81.1,76.3,5.8
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,34.1,31.6,7.2
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,56.8,53.3,6.3
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,73.9,69.8,5.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,30.2,28.1,6.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,51.3,48.2,5.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,59.3,56,5.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,24.5,22.8,6.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,41.3,38.9,5.9
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,61.2,51.2,16.4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,29.9,24,19.7
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,45.6,37.7,17.5
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,83.6,79.8,4.6
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,51.3,49.2,4
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,67.1,64.2,4.4
