State,Year_Num,LFPR,WPR,UR,Next_LFPR_Change,Target_Improved,LFPR_YoY_Change,NonAgriculture_Pct,SecondaryPlus_Pct,VocationalTraining_Pct,PMMY_Growth,LFPR_Lag1,LFPR_Lag2
Andaman and Nicobar Islands,2017,34.36666666666667,16.333333333333332,51.18333333333334,1.1424242424242408,0,,89.2,9.987134502923976,4.7,21.232553388327524,,
Andaman and Nicobar Islands,2018,35.50909090909091,19.963636363636365,46.5,1.240909090909092,0,1.1424242424242408,94.87,9.984795321637428,6.2,24.39139904218508,34.36666666666667,
Andaman and Nicobar Islands,2019,36.75,23.183333333333334,35.75833333333333,8.233333333333327,1,1.240909090909092,88.52,10.296783625730994,8.4,3.9707288676836594,35.50909090909091,34.36666666666667
Andaman and Nicobar Islands,2020,44.98333333333333,32.775,26.733333333333334,-3.2833333333333314,0,8.233333333333327,13.299999999999997,10.336257309941521,9.7,-18.494783558423112,36.75,35.50909090909091
Andaman and Nicobar Islands,2021,41.699999999999996,33.25833333333333,21.241666666666667,7.00833333333334,1,-3.2833333333333314,61.13999999999999,10.447953216374268,10.5,6.0322799352542145,44.98333333333333,36.75
Andaman and Nicobar Islands,2022,48.708333333333336,35.85,26.233333333333334,-1.6583333333333314,0,7.00833333333334,76.33,10.973214285714286,14.7,15.828587678462336,41.699999999999996,44.98333333333333
Andhra Pradesh,2017,37.800000000000004,35.108333333333334,8.116666666666665,1.0,0,,50.96,9.987134502923976,4.7,21.232553388327524,,
Andhra Pradesh,2018,38.800000000000004,35.23636363636364,11.618181818181817,-3.9916666666666742,0,1.0,52.74,9.984795321637428,6.2,24.39139904218508,37.800000000000004,
Andhra Pradesh,2019,34.80833333333333,32.25,8.316666666666666,3.875,0,-3.9916666666666742,50.97,10.296783625730994,8.4,3.9707288676836594,38.800000000000004,37.800000000000004
Andhra Pradesh,2020,38.68333333333333,36.68333333333333,6.408333333333334,-1.7749999999999986,0,3.875,0.0,10.336257309941521,9.7,-18.494783558423112,34.80833333333333,38.800000000000004
Andhra Pradesh,2021,36.90833333333333,34.516666666666666,7.633333333333333,2.7250000000000014,0,-1.7749999999999986,55.43333333333333,10.447953216374268,10.5,6.0322799352542145,38.68333333333333,34.80833333333333
Andhra Pradesh,2022,39.63333333333333,36.641666666666666,8.674999999999999,-1.5,0,2.7250000000000014,53.526666666666664,10.973214285714286,14.7,15.828587678462336,36.90833333333333,38.68333333333333
Arunachal Pradesh,2017,13.241666666666667,10.616666666666667,19.958333333333332,3.212878787878786,0,,51.49666666666667,9.987134502923976,4.7,21.232553388327524,,
Arunachal Pradesh,2018,16.454545454545453,12.281818181818181,28.581818181818186,2.653787878787881,0,3.212878787878786,53.10333333333333,9.984795321637428,6.2,24.39139904218508,13.241666666666667,
Arunachal Pradesh,2019,19.108333333333334,16.358333333333334,15.166666666666666,3.8249999999999993,0,2.653787878787881,54.46,10.296783625730994,8.4,3.9707288676836594,16.454545454545453,13.241666666666667
Arunachal Pradesh,2020,22.933333333333334,19.474999999999998,16.375,1.9250000000000007,0,3.8249999999999993,0.0,10.336257309941521,9.7,-18.494783558423112,19.108333333333334,16.454545454545453
Arunachal Pradesh,2021,24.858333333333334,20.575,19.783333333333335,19.624999999999993,1,1.9250000000000007,48.31999999999999,10.447953216374268,10.5,6.0322799352542145,22.933333333333334,19.108333333333334
Arunachal Pradesh,2022,44.48333333333333,40.31666666666667,12.016666666666666,8.808333333333337,1,19.624999999999993,38.94,10.973214285714286,14.7,15.828587678462336,24.858333333333334,22.933333333333334
Assam,2017,12.825000000000001,10.458333333333334,18.691666666666666,0.17499999999999893,0,,64.55333333333334,9.987134502923976,4.7,21.232553388327524,,
Assam,2018,13.0,11.054545454545455,16.400000000000002,3.333333333333332,0,0.17499999999999893,66.02333333333333,9.984795321637428,6.2,24.39139904218508,12.825000000000001,
Assam,2019,16.333333333333332,13.033333333333333,19.816666666666666,5.583333333333336,1,3.333333333333332,65.54,10.296783625730994,8.4,3.9707288676836594,13.0,12.825000000000001
Assam,2020,21.916666666666668,18.841666666666665,14.375,2.849999999999998,0,5.583333333333336,0.0,10.336257309941521,9.7,-18.494783558423112,16.333333333333332,13.0
Assam,2021,24.766666666666666,21.65833333333333,13.274999999999999,-4.466666666666665,0,2.849999999999998,51.669999999999995,10.447953216374268,10.5,6.0322799352542145,21.916666666666668,16.333333333333332
Assam,2022,20.3,18.116666666666667,9.433333333333332,19.291666666666668,1,-4.466666666666665,49.10666666666666,10.973214285714286,14.7,15.828587678462336,24.766666666666666,21.916666666666668
Bihar,2017,3.8083333333333336,3.5416666666666665,8.275,0.5098484848484848,0,,59.63666666666668,9.987134502923976,4.7,21.232553388327524,,
Bihar,2018,4.318181818181818,3.8909090909090907,11.563636363636364,3.0901515151515158,0,0.5098484848484848,49.27333333333333,9.984795321637428,6.2,24.39139904218508,3.8083333333333336,
Bihar,2019,7.408333333333334,6.925,7.433333333333334,0.2916666666666661,0,3.0901515151515158,44.623333333333335,10.296783625730994,8.4,3.9707288676836594,4.318181818181818,3.8083333333333336
Bihar,2020,7.7,6.991666666666667,11.825000000000001,0.7583333333333337,0,0.2916666666666661,0.0,10.336257309941521,9.7,-18.494783558423112,7.408333333333334,4.318181818181818
Bihar,2021,8.458333333333334,7.716666666666666,9.408333333333333,7.433333333333332,1,0.7583333333333337,37.67333333333333,10.447953216374268,10.5,6.0322799352542145,7.7,7.408333333333334
