State_Rank,State,Cohort,LFPR,WPR,UR,RandomForest_Prediction,RandomForest_Probability,Next_LFPR_Change
1,Delhi,Low Participation,11.108333333333334,10.808333333333332,2.158333333333333,0,0.4353383755620596,6.091666666666665
2,Puducherry,Low Participation,33.15,29.941666666666663,10.991666666666667,0,0.4168455042914105,0.0583333333333371
3,Karnataka,Low Participation,33.541666666666664,32.09166666666667,4.883333333333334,0,0.3194571907038745,-0.68333333333333
4,Jharkhand,Low Participation,34.0,33.358333333333334,3.9,0,0.3749676872834766,3.7666666666666657
5,Madhya Pradesh,Low Participation,34.358333333333334,33.50833333333333,3.8666666666666663,0,0.3289227137385032,7.69166666666667
6,Tamil Nadu,Low Participation,34.416666666666664,31.6,9.891666666666667,0,0.3928952822376899,2.433333333333337
7,Kerala,At Risk,34.65833333333333,28.433333333333337,19.6,0,0.4370849863985704,2.8999999999999986
8,Maharashtra,At Risk,35.19166666666667,33.791666666666664,4.85,0,0.3389085644890597,-0.0250000000000056
9,Odisha,At Risk,36.74166666666667,34.85,6.199999999999999,0,0.3432056897999136,3.6000000000000014
10,Telangana,At Risk,37.325,34.833333333333336,8.625,0,0.3996066680740757,3.19166666666667
11,Rajasthan,At Risk,37.45,35.275,8.141666666666667,0,0.4193682988159956,3.75833333333334
12,Gujarat,At Risk,37.49166666666667,36.65,2.7999999999999994,0,0.3900360907773189,4.433333333333337
13,Mizoram,At Risk,38.075,36.075,6.516666666666666,0,0.4100263422730051,-2.74166666666666
14,Andhra Pradesh,At Risk,39.63333333333333,36.641666666666666,8.674999999999999,0,0.4807528320952396,-1.5
15,Lakshadweep,Growing but Constrained,15.841666666666669,12.266666666666666,23.141666666666666,1,0.5592951816566474,4.133333333333331
16,Bihar,Growing but Constrained,15.891666666666666,15.141666666666666,6.8,1,0.5323458052003844,5.516666666666666
17,Haryana,Growing but Constrained,18.3,16.724999999999998,9.458333333333334,1,0.5704349401779596,2.8583333333333343
18,Assam,Growing but Constrained,20.3,18.116666666666667,9.433333333333332,1,0.7312760341246133,19.291666666666668
19,Uttar Pradesh,Growing but Constrained,22.59166666666667,21.59166666666667,6.433333333333334,1,0.6056641300091378,3.5083333333333293
20,Chandigarh,Growing but Constrained,23.316666666666663,21.75,5.891666666666667,1,0.5243810919420333,8.308333333333334
21,Punjab,Growing but Constrained,26.041666666666668,22.791666666666668,12.675,1,0.5573898754455863,2.258333333333333
22,Manipur,Growing but Constrained,27.608333333333334,25.525,8.766666666666667,1,0.6052232461920618,12.758333333333333
23,Tripura,Growing but Constrained,29.108333333333334,28.316666666666663,3.525,1,0.5222088059800252,9.166666666666664
24,West Bengal,Growing but Constrained,29.875,28.816666666666663,3.891666666666667,1,0.5558471426608147,6.083333333333336
25,Uttarakhand,Growing but Constrained,30.53333333333333,28.266666666666666,9.141666666666667,1,0.6601004853687901,6.858333333333334
26,Goa,Growing but Constrained,30.59166666666667,23.383333333333336,22.525,1,0.6155286148039703,-1.9500000000000028
27,The Dadra and Nagar Haveli and Daman and Diu,High Potential,38.225,35.300000000000004,7.258333333333333,1,0.5551245158108338,5.233333333333334
28,Jammu and Kashmir,High Potential,40.333333333333336,35.13333333333333,15.858333333333334,1,0.5406335934716149,2.591666666666669
29,Arunachal Pradesh,High Potential,44.48333333333333,40.31666666666667,12.016666666666666,1,0.5509256587198741,8.808333333333337
30,Ladakh,High Potential,45.74166666666667,39.208333333333336,18.158333333333335,1,0.622711876299898,-4.408333333333331
31,Meghalaya,High Potential,48.06666666666666,41.391666666666666,15.433333333333335,1,0.7841537670115255,9.258333333333333
32,Chhattisgarh,High Potential,48.18333333333333,45.916666666666664,6.383333333333333,1,0.8671882613318541,1.2083333333333428
33,Andaman and Nicobar Islands,High Potential,48.708333333333336,35.85,26.233333333333334,1,0.8200559163059166,-1.6583333333333314
34,Nagaland,High Potential,51.53333333333333,47.791666666666664,8.441666666666666,1,0.8849933947327323,0.2166666666666685
35,Sikkim,High Potential,54.44166666666666,51.35,5.983333333333333,1,0.8697686474824157,-1.2166666666666617
36,Himachal Pradesh,High Potential,58.291666666666664,50.75833333333333,16.3,1,0.9076061070691288,-0.7916666666666643
