State_Rank,State,Cohort,LFPR,WPR,UR,LFPR_Change,Predicted_Improving_Next_Year,Prediction_Probability_Pct,Focus_Areas
1,Delhi,Low Participation,11.108333333333334,10.808333333333332,2.158333333333333,-0.27,No,43.5,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
2,Puducherry,Low Participation,33.15,29.941666666666663,10.991666666666667,-1.67,No,41.7,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
3,Karnataka,Low Participation,33.541666666666664,32.09166666666667,4.883333333333334,6.4,No,31.9,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
4,Jharkhand,Low Participation,34.0,33.358333333333334,3.9,-1.41,No,37.5,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
5,Madhya Pradesh,Low Participation,34.358333333333334,33.50833333333333,3.8666666666666663,2.83,No,32.9,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
6,Tamil Nadu,Low Participation,34.416666666666664,31.6,9.891666666666667,-0.66,No,39.3,Investigate participation barriers; strengthen foundational skills and access to suitable employment opportunities.
7,Kerala,At Risk,34.65833333333333,28.433333333333337,19.6,0.59,No,43.7,Investigate weakening momentum and examine sectoral and employment-quality changes.
8,Maharashtra,At Risk,35.19166666666667,33.791666666666664,4.85,2.23,No,33.9,Investigate weakening momentum and examine sectoral and employment-quality changes.
9,Odisha,At Risk,36.74166666666667,34.85,6.199999999999999,9.03,No,34.3,Investigate weakening momentum and examine sectoral and employment-quality changes.
10,Telangana,At Risk,37.325,34.833333333333336,8.625,-0.31,No,40.0,Investigate weakening momentum and examine sectoral and employment-quality changes.
11,Rajasthan,At Risk,37.45,35.275,8.141666666666667,6.13,No,41.9,Investigate weakening momentum and examine sectoral and employment-quality changes.
12,Gujarat,At Risk,37.49166666666667,36.65,2.7999999999999994,6.62,No,39.0,Investigate weakening momentum and examine sectoral and employment-quality changes.
13,Mizoram,At Risk,38.075,36.075,6.516666666666666,7.62,No,41.0,Investigate weakening momentum and examine sectoral and employment-quality changes.
14,Andhra Pradesh,At Risk,39.63333333333333,36.641666666666666,8.674999999999999,2.73,No,48.1,Investigate weakening momentum and examine sectoral and employment-quality changes.
15,Lakshadweep,Growing but Constrained,15.841666666666669,12.266666666666666,23.141666666666666,-1.21,Yes,55.9,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
16,Bihar,Growing but Constrained,15.891666666666666,15.141666666666666,6.8,7.43,Yes,53.2,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
17,Haryana,Growing but Constrained,18.3,16.724999999999998,9.458333333333334,1.0,Yes,57.0,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
18,Assam,Growing but Constrained,20.3,18.116666666666667,9.433333333333332,-4.47,Yes,73.1,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
19,Uttar Pradesh,Growing but Constrained,22.59166666666667,21.59166666666667,6.433333333333334,2.92,Yes,60.6,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
20,Chandigarh,Growing but Constrained,23.316666666666663,21.75,5.891666666666667,7.14,Yes,52.4,"Identify factors associated with positive momentum and examine skills, access and employment opportunities."
